# 0.32 1e+52 0.2 0.2 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
9.705520000000e+04 1.000000000000e+09 1.857814000000e-07 9.289070000000e-09 0.0 Boxfit
1.065180000000e+05 1.000000000000e+09 2.860498000000e-06 1.430249000000e-07 0.0 Boxfit
1.169033000000e+05 1.000000000000e+09 7.639865000000e-06 3.819932500000e-07 0.0 Boxfit
1.283013000000e+05 1.000000000000e+09 1.822587000000e-05 9.112935000000e-07 0.0 Boxfit
1.408105000000e+05 1.000000000000e+09 3.900673000000e-05 1.950336500000e-06 0.0 Boxfit
1.545393000000e+05 1.000000000000e+09 6.685278000000e-05 3.342639000000e-06 0.0 Boxfit
1.696067000000e+05 1.000000000000e+09 1.196912000000e-04 5.984560000000e-06 0.0 Boxfit
1.861432000000e+05 1.000000000000e+09 1.992340000000e-04 9.961700000000e-06 0.0 Boxfit
2.042919000000e+05 1.000000000000e+09 3.592352000000e-04 1.796176000000e-05 0.0 Boxfit
2.242101000000e+05 1.000000000000e+09 6.306635000000e-04 3.153317500000e-05 0.0 Boxfit
2.460703000000e+05 1.000000000000e+09 1.015279000000e-03 5.076395000000e-05 0.0 Boxfit
2.700618000000e+05 1.000000000000e+09 1.811218000000e-03 9.056090000000e-05 0.0 Boxfit
2.963925000000e+05 1.000000000000e+09 2.978132000000e-03 1.489066000000e-04 0.0 Boxfit
3.252905000000e+05 1.000000000000e+09 5.070707000000e-03 2.535353500000e-04 0.0 Boxfit
3.570059000000e+05 1.000000000000e+09 8.249721000000e-03 4.124860500000e-04 0.0 Boxfit
3.918135000000e+05 1.000000000000e+09 1.360553000000e-02 6.802765000000e-04 0.0 Boxfit
4.300148000000e+05 1.000000000000e+09 2.902097000000e-02 1.451048500000e-03 0.0 Boxfit
4.719408000000e+05 1.000000000000e+09 7.894495000000e-02 3.947247500000e-03 0.0 Boxfit
5.179544000000e+05 1.000000000000e+09 1.448276000000e-01 7.241380000000e-03 0.0 Boxfit
5.684543000000e+05 1.000000000000e+09 2.245190000000e-01 1.122595000000e-02 0.0 Boxfit
6.238779000000e+05 1.000000000000e+09 3.269591000000e-01 1.634795500000e-02 0.0 Boxfit
6.847052000000e+05 1.000000000000e+09 4.536155000000e-01 2.268077500000e-02 0.0 Boxfit
7.514631000000e+05 1.000000000000e+09 5.994474000000e-01 2.997237000000e-02 0.0 Boxfit
8.247299000000e+05 1.000000000000e+09 7.711117000000e-01 3.855558500000e-02 0.0 Boxfit
9.051400000000e+05 1.000000000000e+09 9.742783000000e-01 4.871391500000e-02 0.0 Boxfit
9.933900000000e+05 1.000000000000e+09 1.193390000000e+00 5.966950000000e-02 0.0 Boxfit
1.090244000000e+06 1.000000000000e+09 1.432862000000e+00 7.164310000000e-02 0.0 Boxfit
1.196542000000e+06 1.000000000000e+09 1.702838000000e+00 8.514190000000e-02 0.0 Boxfit
1.313203000000e+06 1.000000000000e+09 1.971019000000e+00 9.855095000000e-02 0.0 Boxfit
1.441239000000e+06 1.000000000000e+09 2.234569000000e+00 1.117284500000e-01 0.0 Boxfit
1.581758000000e+06 1.000000000000e+09 2.487863000000e+00 1.243931500000e-01 0.0 Boxfit
1.735977000000e+06 1.000000000000e+09 2.755504000000e+00 1.377752000000e-01 0.0 Boxfit
1.905233000000e+06 1.000000000000e+09 3.006762000000e+00 1.503381000000e-01 0.0 Boxfit
2.090991000000e+06 1.000000000000e+09 3.250006000000e+00 1.625003000000e-01 0.0 Boxfit
2.294860000000e+06 1.000000000000e+09 3.470597000000e+00 1.735298500000e-01 0.0 Boxfit
2.518606000000e+06 1.000000000000e+09 3.649553000000e+00 1.824776500000e-01 0.0 Boxfit
2.764167000000e+06 1.000000000000e+09 3.787191000000e+00 1.893595500000e-01 0.0 Boxfit
3.033670000000e+06 1.000000000000e+09 3.857439000000e+00 1.928719500000e-01 0.0 Boxfit
3.329449000000e+06 1.000000000000e+09 3.905361000000e+00 1.952680500000e-01 0.0 Boxfit
3.654066000000e+06 1.000000000000e+09 3.970853000000e+00 1.985426500000e-01 0.0 Boxfit
4.010333000000e+06 1.000000000000e+09 3.985553000000e+00 1.992776500000e-01 0.0 Boxfit
4.401335000000e+06 1.000000000000e+09 3.928150000000e+00 1.964075000000e-01 0.0 Boxfit
4.830460000000e+06 1.000000000000e+09 3.788539000000e+00 1.894269500000e-01 0.0 Boxfit
5.301424000000e+06 1.000000000000e+09 3.636986000000e+00 1.818493000000e-01 0.0 Boxfit
5.818306000000e+06 1.000000000000e+09 3.418255000000e+00 1.709127500000e-01 0.0 Boxfit
6.385584000000e+06 1.000000000000e+09 3.221770000000e+00 1.610885000000e-01 0.0 Boxfit
7.008170000000e+06 1.000000000000e+09 3.022558000000e+00 1.511279000000e-01 0.0 Boxfit
7.691458000000e+06 1.000000000000e+09 2.801012000000e+00 1.400506000000e-01 0.0 Boxfit
8.441366000000e+06 1.000000000000e+09 2.573402000000e+00 1.286701000000e-01 0.0 Boxfit
9.264389000000e+06 1.000000000000e+09 2.321626000000e+00 1.160813000000e-01 0.0 Boxfit
1.016766000000e+07 1.000000000000e+09 2.071149000000e+00 1.035574500000e-01 0.0 Boxfit
1.115899000000e+07 1.000000000000e+09 1.785618000000e+00 8.928090000000e-02 0.0 Boxfit
1.224698000000e+07 1.000000000000e+09 1.549836000000e+00 7.749180000000e-02 0.0 Boxfit
1.344104000000e+07 1.000000000000e+09 1.356600000000e+00 6.783000000000e-02 0.0 Boxfit
1.475153000000e+07 1.000000000000e+09 1.170649000000e+00 5.853245000000e-02 0.0 Boxfit
1.618978000000e+07 1.000000000000e+09 9.900274000000e-01 4.950137000000e-02 0.0 Boxfit
1.776827000000e+07 1.000000000000e+09 8.174874000000e-01 4.087437000000e-02 0.0 Boxfit
1.950065000000e+07 1.000000000000e+09 6.605290000000e-01 3.302645000000e-02 0.0 Boxfit
2.140194000000e+07 1.000000000000e+09 5.136296000000e-01 2.568148000000e-02 0.0 Boxfit
2.348860000000e+07 1.000000000000e+09 3.978141000000e-01 1.989070500000e-02 0.0 Boxfit
2.577871000000e+07 1.000000000000e+09 3.057200000000e-01 1.528600000000e-02 0.0 Boxfit
2.829210000000e+07 1.000000000000e+09 2.297119000000e-01 1.148559500000e-02 0.0 Boxfit
3.105055000000e+07 1.000000000000e+09 1.701865000000e-01 8.509325000000e-03 0.0 Boxfit
3.407794000000e+07 1.000000000000e+09 1.247727000000e-01 6.238635000000e-03 0.0 Boxfit
3.740050000000e+07 1.000000000000e+09 9.305154000000e-02 4.652577000000e-03 0.0 Boxfit
4.104700000000e+07 1.000000000000e+09 6.896542000000e-02 3.448271000000e-03 0.0 Boxfit
4.504903000000e+07 1.000000000000e+09 5.179691000000e-02 2.589845500000e-03 0.0 Boxfit
4.944126000000e+07 1.000000000000e+09 3.945965000000e-02 1.972982500000e-03 0.0 Boxfit
5.426172000000e+07 1.000000000000e+09 3.027501000000e-02 1.513750500000e-03 0.0 Boxfit
5.955217000000e+07 1.000000000000e+09 2.339202000000e-02 1.169601000000e-03 0.0 Boxfit
6.535843000000e+07 1.000000000000e+09 1.840301000000e-02 9.201505000000e-04 0.0 Boxfit
7.173080000000e+07 1.000000000000e+09 1.443089000000e-02 7.215445000000e-04 0.0 Boxfit
7.872446000000e+07 1.000000000000e+09 1.164841000000e-02 5.824205000000e-04 0.0 Boxfit
8.640000000000e+07 1.000000000000e+09 9.340995000000e-03 4.670497500000e-04 0.0 Boxfit
9.705520000000e+04 1.000000000000e+14 1.781522000000e-06 8.907610000000e-08 0.0 Boxfit
1.065180000000e+05 1.000000000000e+14 1.166287000000e-05 5.831435000000e-07 0.0 Boxfit
1.169033000000e+05 1.000000000000e+14 1.652273000000e-05 8.261365000000e-07 0.0 Boxfit
1.283013000000e+05 1.000000000000e+14 4.037688000000e-05 2.018844000000e-06 0.0 Boxfit
1.408105000000e+05 1.000000000000e+14 7.978879000000e-05 3.989439500000e-06 0.0 Boxfit
1.545393000000e+05 1.000000000000e+14 9.740504000000e-05 4.870252000000e-06 0.0 Boxfit
1.696067000000e+05 1.000000000000e+14 1.423916000000e-04 7.119580000000e-06 0.0 Boxfit
1.861432000000e+05 1.000000000000e+14 1.794905000000e-04 8.974525000000e-06 0.0 Boxfit
2.042919000000e+05 1.000000000000e+14 2.870707000000e-04 1.435353500000e-05 0.0 Boxfit
2.242101000000e+05 1.000000000000e+14 4.212863000000e-04 2.106431500000e-05 0.0 Boxfit
2.460703000000e+05 1.000000000000e+14 5.058321000000e-04 2.529160500000e-05 0.0 Boxfit
2.700618000000e+05 1.000000000000e+14 7.849195000000e-04 3.924597500000e-05 0.0 Boxfit
2.963925000000e+05 1.000000000000e+14 1.054640000000e-03 5.273200000000e-05 0.0 Boxfit
3.252905000000e+05 1.000000000000e+14 1.440787000000e-03 7.203935000000e-05 0.0 Boxfit
3.570059000000e+05 1.000000000000e+14 1.903436000000e-03 9.517180000000e-05 0.0 Boxfit
3.918135000000e+05 1.000000000000e+14 2.591939000000e-03 1.295969500000e-04 0.0 Boxfit
4.300148000000e+05 1.000000000000e+14 3.325160000000e-03 1.662580000000e-04 0.0 Boxfit
4.719408000000e+05 1.000000000000e+14 4.583808000000e-03 2.291904000000e-04 0.0 Boxfit
5.179544000000e+05 1.000000000000e+14 5.136351000000e-03 2.568175500000e-04 0.0 Boxfit
5.684543000000e+05 1.000000000000e+14 5.468839000000e-03 2.734419500000e-04 0.0 Boxfit
6.238779000000e+05 1.000000000000e+14 6.005522000000e-03 3.002761000000e-04 0.0 Boxfit
6.847052000000e+05 1.000000000000e+14 6.632494000000e-03 3.316247000000e-04 0.0 Boxfit
7.514631000000e+05 1.000000000000e+14 6.948744000000e-03 3.474372000000e-04 0.0 Boxfit
8.247299000000e+05 1.000000000000e+14 7.377861000000e-03 3.688930500000e-04 0.0 Boxfit
9.051400000000e+05 1.000000000000e+14 7.834208000000e-03 3.917104000000e-04 0.0 Boxfit
9.933900000000e+05 1.000000000000e+14 8.060619000000e-03 4.030309500000e-04 0.0 Boxfit
1.090244000000e+06 1.000000000000e+14 8.287099000000e-03 4.143549500000e-04 0.0 Boxfit
1.196542000000e+06 1.000000000000e+14 8.560025000000e-03 4.280012500000e-04 0.0 Boxfit
1.313203000000e+06 1.000000000000e+14 8.620621000000e-03 4.310310500000e-04 0.0 Boxfit
1.441239000000e+06 1.000000000000e+14 8.610795000000e-03 4.305397500000e-04 0.0 Boxfit
1.581758000000e+06 1.000000000000e+14 8.506410000000e-03 4.253205000000e-04 0.0 Boxfit
1.735977000000e+06 1.000000000000e+14 8.390456000000e-03 4.195228000000e-04 0.0 Boxfit
1.905233000000e+06 1.000000000000e+14 8.169876000000e-03 4.084938000000e-04 0.0 Boxfit
2.090991000000e+06 1.000000000000e+14 7.942665000000e-03 3.971332500000e-04 0.0 Boxfit
2.294860000000e+06 1.000000000000e+14 7.586184000000e-03 3.793092000000e-04 0.0 Boxfit
2.518606000000e+06 1.000000000000e+14 7.277222000000e-03 3.638611000000e-04 0.0 Boxfit
2.764167000000e+06 1.000000000000e+14 6.899391000000e-03 3.449695500000e-04 0.0 Boxfit
3.033670000000e+06 1.000000000000e+14 6.497778000000e-03 3.248889000000e-04 0.0 Boxfit
3.329449000000e+06 1.000000000000e+14 6.087789000000e-03 3.043894500000e-04 0.0 Boxfit
3.654066000000e+06 1.000000000000e+14 5.777547000000e-03 2.888773500000e-04 0.0 Boxfit
4.010333000000e+06 1.000000000000e+14 5.454944000000e-03 2.727472000000e-04 0.0 Boxfit
4.401335000000e+06 1.000000000000e+14 5.079316000000e-03 2.539658000000e-04 0.0 Boxfit
4.830460000000e+06 1.000000000000e+14 4.689457000000e-03 2.344728500000e-04 0.0 Boxfit
5.301424000000e+06 1.000000000000e+14 4.321079000000e-03 2.160539500000e-04 0.0 Boxfit
5.818306000000e+06 1.000000000000e+14 3.924235000000e-03 1.962117500000e-04 0.0 Boxfit
6.385584000000e+06 1.000000000000e+14 3.583342000000e-03 1.791671000000e-04 0.0 Boxfit
7.008170000000e+06 1.000000000000e+14 3.283047000000e-03 1.641523500000e-04 0.0 Boxfit
7.691458000000e+06 1.000000000000e+14 2.978399000000e-03 1.489199500000e-04 0.0 Boxfit
8.441366000000e+06 1.000000000000e+14 2.688650000000e-03 1.344325000000e-04 0.0 Boxfit
9.264389000000e+06 1.000000000000e+14 2.392976000000e-03 1.196488000000e-04 0.0 Boxfit
1.016766000000e+07 1.000000000000e+14 2.110270000000e-03 1.055135000000e-04 0.0 Boxfit
1.115899000000e+07 1.000000000000e+14 1.802284000000e-03 9.011420000000e-05 0.0 Boxfit
1.224698000000e+07 1.000000000000e+14 1.555565000000e-03 7.777825000000e-05 0.0 Boxfit
1.344104000000e+07 1.000000000000e+14 1.358914000000e-03 6.794570000000e-05 0.0 Boxfit
1.475153000000e+07 1.000000000000e+14 1.172078000000e-03 5.860390000000e-05 0.0 Boxfit
1.618978000000e+07 1.000000000000e+14 9.909575000000e-04 4.954787500000e-05 0.0 Boxfit
1.776827000000e+07 1.000000000000e+14 8.180637000000e-04 4.090318500000e-05 0.0 Boxfit
1.950065000000e+07 1.000000000000e+14 6.608725000000e-04 3.304362500000e-05 0.0 Boxfit
