# 0.16 1e+52 0.05 0.05 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
8.057693000000e+04 1.000000000000e+09 1.781065000000e-07 8.905325000000e-09 0.0 Boxfit
8.843308000000e+04 1.000000000000e+09 1.362649000000e-06 6.813245000000e-08 0.0 Boxfit
9.705520000000e+04 1.000000000000e+09 5.469382000000e-06 2.734691000000e-07 0.0 Boxfit
1.065180000000e+05 1.000000000000e+09 1.534053000000e-05 7.670265000000e-07 0.0 Boxfit
1.169033000000e+05 1.000000000000e+09 2.812782000000e-05 1.406391000000e-06 0.0 Boxfit
1.283013000000e+05 1.000000000000e+09 5.067263000000e-05 2.533631500000e-06 0.0 Boxfit
1.408105000000e+05 1.000000000000e+09 9.418969000000e-05 4.709484500000e-06 0.0 Boxfit
1.545393000000e+05 1.000000000000e+09 1.593339000000e-04 7.966695000000e-06 0.0 Boxfit
1.696067000000e+05 1.000000000000e+09 2.530682000000e-04 1.265341000000e-05 0.0 Boxfit
1.861432000000e+05 1.000000000000e+09 4.917049000000e-04 2.458524500000e-05 0.0 Boxfit
2.042919000000e+05 1.000000000000e+09 8.337597000000e-04 4.168798500000e-05 0.0 Boxfit
2.242101000000e+05 1.000000000000e+09 1.291937000000e-03 6.459685000000e-05 0.0 Boxfit
2.460703000000e+05 1.000000000000e+09 2.241285000000e-03 1.120642500000e-04 0.0 Boxfit
2.700618000000e+05 1.000000000000e+09 3.740307000000e-03 1.870153500000e-04 0.0 Boxfit
2.963925000000e+05 1.000000000000e+09 5.765718000000e-03 2.882859000000e-04 0.0 Boxfit
3.252905000000e+05 1.000000000000e+09 9.617496000000e-03 4.808748000000e-04 0.0 Boxfit
3.570059000000e+05 1.000000000000e+09 2.050585000000e-02 1.025292500000e-03 0.0 Boxfit
3.918135000000e+05 1.000000000000e+09 6.272233000000e-02 3.136116500000e-03 0.0 Boxfit
4.300148000000e+05 1.000000000000e+09 1.151083000000e-01 5.755415000000e-03 0.0 Boxfit
4.719408000000e+05 1.000000000000e+09 1.743619000000e-01 8.718095000000e-03 0.0 Boxfit
5.179544000000e+05 1.000000000000e+09 2.402059000000e-01 1.201029500000e-02 0.0 Boxfit
5.684543000000e+05 1.000000000000e+09 3.203923000000e-01 1.601961500000e-02 0.0 Boxfit
