# 0.04 1e+52 0.1 0.1 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
8.640000000000e+03 1.000000000000e+09 4.434988000000e+00 2.217494000000e-01 0.0 Boxfit
9.482389000000e+03 1.000000000000e+09 4.500162000000e+00 2.250081000000e-01 0.0 Boxfit
1.040691000000e+04 1.000000000000e+09 4.587478000000e+00 2.293739000000e-01 0.0 Boxfit
1.142157000000e+04 1.000000000000e+09 4.709713000000e+00 2.354856500000e-01 0.0 Boxfit
1.253516000000e+04 1.000000000000e+09 4.897350000000e+00 2.448675000000e-01 0.0 Boxfit
1.375732000000e+04 1.000000000000e+09 5.019950000000e+00 2.509975000000e-01 0.0 Boxfit
1.509865000000e+04 1.000000000000e+09 5.101579000000e+00 2.550789500000e-01 0.0 Boxfit
1.657074000000e+04 1.000000000000e+09 5.163993000000e+00 2.581996500000e-01 0.0 Boxfit
1.818637000000e+04 1.000000000000e+09 5.150880000000e+00 2.575440000000e-01 0.0 Boxfit
1.995952000000e+04 1.000000000000e+09 5.196718000000e+00 2.598359000000e-01 0.0 Boxfit
2.190555000000e+04 1.000000000000e+09 5.288015000000e+00 2.644007500000e-01 0.0 Boxfit
2.404131000000e+04 1.000000000000e+09 5.399738000000e+00 2.699869000000e-01 0.0 Boxfit
2.638531000000e+04 1.000000000000e+09 5.408976000000e+00 2.704488000000e-01 0.0 Boxfit
2.895785000000e+04 1.000000000000e+09 5.345461000000e+00 2.672730500000e-01 0.0 Boxfit
3.178120000000e+04 1.000000000000e+09 5.710277000000e+00 2.855138500000e-01 0.0 Boxfit
3.487983000000e+04 1.000000000000e+09 5.776896000000e+00 2.888448000000e-01 0.0 Boxfit
3.828057000000e+04 1.000000000000e+09 5.915707000000e+00 2.957853500000e-01 0.0 Boxfit
4.201288000000e+04 1.000000000000e+09 6.079120000000e+00 3.039560000000e-01 0.0 Boxfit
4.610908000000e+04 1.000000000000e+09 6.223876000000e+00 3.111938000000e-01 0.0 Boxfit
5.060466000000e+04 1.000000000000e+09 6.385349000000e+00 3.192674500000e-01 0.0 Boxfit
5.553855000000e+04 1.000000000000e+09 6.568764000000e+00 3.284382000000e-01 0.0 Boxfit
6.095349000000e+04 1.000000000000e+09 6.796449000000e+00 3.398224500000e-01 0.0 Boxfit
6.689638000000e+04 1.000000000000e+09 7.037466000000e+00 3.518733000000e-01 0.0 Boxfit
7.341870000000e+04 1.000000000000e+09 7.245051000000e+00 3.622525500000e-01 0.0 Boxfit
8.057693000000e+04 1.000000000000e+09 7.522118000000e+00 3.761059000000e-01 0.0 Boxfit
8.843308000000e+04 1.000000000000e+09 7.860979000000e+00 3.930489500000e-01 0.0 Boxfit
9.705520000000e+04 1.000000000000e+09 8.173360000000e+00 4.086680000000e-01 0.0 Boxfit
1.065180000000e+05 1.000000000000e+09 8.469153000000e+00 4.234576500000e-01 0.0 Boxfit
1.169033000000e+05 1.000000000000e+09 8.761789000000e+00 4.380894500000e-01 0.0 Boxfit
1.283013000000e+05 1.000000000000e+09 9.096274000000e+00 4.548137000000e-01 0.0 Boxfit
1.408105000000e+05 1.000000000000e+09 9.461212000000e+00 4.730606000000e-01 0.0 Boxfit
1.545393000000e+05 1.000000000000e+09 9.826865000000e+00 4.913432500000e-01 0.0 Boxfit
1.696067000000e+05 1.000000000000e+09 1.021722000000e+01 5.108610000000e-01 0.0 Boxfit
1.861432000000e+05 1.000000000000e+09 1.059912000000e+01 5.299560000000e-01 0.0 Boxfit
2.042919000000e+05 1.000000000000e+09 1.101919000000e+01 5.509595000000e-01 0.0 Boxfit
