# 0.64 1e+52 0.2 0.2 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
1.313203000000e+06 1.000000000000e+09 9.623793000000e-09 4.811896500000e-10 0.0 Boxfit
1.441239000000e+06 1.000000000000e+09 5.592100000000e-08 2.796050000000e-09 0.0 Boxfit
1.581758000000e+06 1.000000000000e+09 1.796420000000e-07 8.982100000000e-09 0.0 Boxfit
1.735977000000e+06 1.000000000000e+09 4.109963000000e-07 2.054981500000e-08 0.0 Boxfit
1.905233000000e+06 1.000000000000e+09 6.689613000000e-07 3.344806500000e-08 0.0 Boxfit
2.090991000000e+06 1.000000000000e+09 1.234742000000e-06 6.173710000000e-08 0.0 Boxfit
2.294860000000e+06 1.000000000000e+09 3.105840000000e-06 1.552920000000e-07 0.0 Boxfit
2.518606000000e+06 1.000000000000e+09 4.803203000000e-06 2.401601500000e-07 0.0 Boxfit
2.764167000000e+06 1.000000000000e+09 8.925373000000e-06 4.462686500000e-07 0.0 Boxfit
3.033670000000e+06 1.000000000000e+09 1.582272000000e-05 7.911360000000e-07 0.0 Boxfit
3.329449000000e+06 1.000000000000e+09 2.934304000000e-05 1.467152000000e-06 0.0 Boxfit
3.654066000000e+06 1.000000000000e+09 5.442349000000e-05 2.721174500000e-06 0.0 Boxfit
4.010333000000e+06 1.000000000000e+09 8.216008000000e-05 4.108004000000e-06 0.0 Boxfit
4.401335000000e+06 1.000000000000e+09 1.627440000000e-04 8.137200000000e-06 0.0 Boxfit
4.830460000000e+06 1.000000000000e+09 2.458632000000e-04 1.229316000000e-05 0.0 Boxfit
5.301424000000e+06 1.000000000000e+09 4.792869000000e-04 2.396434500000e-05 0.0 Boxfit
5.818306000000e+06 1.000000000000e+09 2.869696000000e-03 1.434848000000e-04 0.0 Boxfit
6.385584000000e+06 1.000000000000e+09 5.625178000000e-03 2.812589000000e-04 0.0 Boxfit
7.008170000000e+06 1.000000000000e+09 1.157642000000e-02 5.788210000000e-04 0.0 Boxfit
7.691458000000e+06 1.000000000000e+09 1.800888000000e-02 9.004440000000e-04 0.0 Boxfit
8.441366000000e+06 1.000000000000e+09 2.799062000000e-02 1.399531000000e-03 0.0 Boxfit
9.264389000000e+06 1.000000000000e+09 4.413454000000e-02 2.206727000000e-03 0.0 Boxfit
1.016766000000e+07 1.000000000000e+09 6.403185000000e-02 3.201592500000e-03 0.0 Boxfit
1.115899000000e+07 1.000000000000e+09 8.311114000000e-02 4.155557000000e-03 0.0 Boxfit
1.224698000000e+07 1.000000000000e+09 1.023435000000e-01 5.117175000000e-03 0.0 Boxfit
1.344104000000e+07 1.000000000000e+09 1.196202000000e-01 5.981010000000e-03 0.0 Boxfit
1.475153000000e+07 1.000000000000e+09 1.386746000000e-01 6.933730000000e-03 0.0 Boxfit
1.618978000000e+07 1.000000000000e+09 1.598121000000e-01 7.990605000000e-03 0.0 Boxfit
1.776827000000e+07 1.000000000000e+09 1.719624000000e-01 8.598120000000e-03 0.0 Boxfit
1.950065000000e+07 1.000000000000e+09 1.785359000000e-01 8.926795000000e-03 0.0 Boxfit
2.140194000000e+07 1.000000000000e+09 1.863898000000e-01 9.319490000000e-03 0.0 Boxfit
2.348860000000e+07 1.000000000000e+09 1.871216000000e-01 9.356080000000e-03 0.0 Boxfit
2.577871000000e+07 1.000000000000e+09 1.863542000000e-01 9.317710000000e-03 0.0 Boxfit
2.829210000000e+07 1.000000000000e+09 1.816338000000e-01 9.081690000000e-03 0.0 Boxfit
3.105055000000e+07 1.000000000000e+09 1.755623000000e-01 8.778115000000e-03 0.0 Boxfit
3.407794000000e+07 1.000000000000e+09 1.641662000000e-01 8.208310000000e-03 0.0 Boxfit
3.740050000000e+07 1.000000000000e+09 1.522778000000e-01 7.613890000000e-03 0.0 Boxfit
4.104700000000e+07 1.000000000000e+09 1.415831000000e-01 7.079155000000e-03 0.0 Boxfit
4.504903000000e+07 1.000000000000e+09 1.256672000000e-01 6.283360000000e-03 0.0 Boxfit
4.944126000000e+07 1.000000000000e+09 1.097918000000e-01 5.489590000000e-03 0.0 Boxfit
5.426172000000e+07 1.000000000000e+09 9.686562000000e-02 4.843281000000e-03 0.0 Boxfit
5.955217000000e+07 1.000000000000e+09 8.277019000000e-02 4.138509500000e-03 0.0 Boxfit
