# 0.08 1e+52 0.1 0.1 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
8.640000000000e+03 1.000000000000e+09 4.291974000000e+00 2.145987000000e-01 0.0 Boxfit
9.482389000000e+03 1.000000000000e+09 4.320037000000e+00 2.160018500000e-01 0.0 Boxfit
1.040691000000e+04 1.000000000000e+09 4.364593000000e+00 2.182296500000e-01 0.0 Boxfit
1.142157000000e+04 1.000000000000e+09 4.433595000000e+00 2.216797500000e-01 0.0 Boxfit
1.253516000000e+04 1.000000000000e+09 4.548067000000e+00 2.274033500000e-01 0.0 Boxfit
1.375732000000e+04 1.000000000000e+09 4.587714000000e+00 2.293857000000e-01 0.0 Boxfit
1.509865000000e+04 1.000000000000e+09 4.575642000000e+00 2.287821000000e-01 0.0 Boxfit
1.657074000000e+04 1.000000000000e+09 4.536948000000e+00 2.268474000000e-01 0.0 Boxfit
1.818637000000e+04 1.000000000000e+09 4.426062000000e+00 2.213031000000e-01 0.0 Boxfit
1.995952000000e+04 1.000000000000e+09 4.349319000000e+00 2.174659500000e-01 0.0 Boxfit
2.190555000000e+04 1.000000000000e+09 4.302603000000e+00 2.151301500000e-01 0.0 Boxfit
2.404131000000e+04 1.000000000000e+09 4.279453000000e+00 2.139726500000e-01 0.0 Boxfit
2.638531000000e+04 1.000000000000e+09 4.186567000000e+00 2.093283500000e-01 0.0 Boxfit
2.895785000000e+04 1.000000000000e+09 4.053729000000e+00 2.026864500000e-01 0.0 Boxfit
3.178120000000e+04 1.000000000000e+09 4.224788000000e+00 2.112394000000e-01 0.0 Boxfit
3.487983000000e+04 1.000000000000e+09 4.190394000000e+00 2.095197000000e-01 0.0 Boxfit
3.828057000000e+04 1.000000000000e+09 4.208967000000e+00 2.104483500000e-01 0.0 Boxfit
4.201288000000e+04 1.000000000000e+09 4.248483000000e+00 2.124241500000e-01 0.0 Boxfit
4.610908000000e+04 1.000000000000e+09 4.278426000000e+00 2.139213000000e-01 0.0 Boxfit
5.060466000000e+04 1.000000000000e+09 4.317018000000e+00 2.158509000000e-01 0.0 Boxfit
5.553855000000e+04 1.000000000000e+09 4.372182000000e+00 2.186091000000e-01 0.0 Boxfit
6.095349000000e+04 1.000000000000e+09 4.457759000000e+00 2.228879500000e-01 0.0 Boxfit
6.689638000000e+04 1.000000000000e+09 4.549905000000e+00 2.274952500000e-01 0.0 Boxfit
7.341870000000e+04 1.000000000000e+09 4.623464000000e+00 2.311732000000e-01 0.0 Boxfit
8.057693000000e+04 1.000000000000e+09 4.742375000000e+00 2.371187500000e-01 0.0 Boxfit
8.843308000000e+04 1.000000000000e+09 4.902269000000e+00 2.451134500000e-01 0.0 Boxfit
9.705520000000e+04 1.000000000000e+09 5.056431000000e+00 2.528215500000e-01 0.0 Boxfit
1.065180000000e+05 1.000000000000e+09 5.211906000000e+00 2.605953000000e-01 0.0 Boxfit
1.169033000000e+05 1.000000000000e+09 5.383408000000e+00 2.691704000000e-01 0.0 Boxfit
1.283013000000e+05 1.000000000000e+09 5.582380000000e+00 2.791190000000e-01 0.0 Boxfit
1.408105000000e+05 1.000000000000e+09 5.796064000000e+00 2.898032000000e-01 0.0 Boxfit
1.545393000000e+05 1.000000000000e+09 6.017746000000e+00 3.008873000000e-01 0.0 Boxfit
1.696067000000e+05 1.000000000000e+09 6.261659000000e+00 3.130829500000e-01 0.0 Boxfit
1.861432000000e+05 1.000000000000e+09 6.509886000000e+00 3.254943000000e-01 0.0 Boxfit
2.042919000000e+05 1.000000000000e+09 6.790618000000e+00 3.395309000000e-01 0.0 Boxfit
2.242101000000e+05 1.000000000000e+09 7.085734000000e+00 3.542867000000e-01 0.0 Boxfit
