# 0.08 1e+52 0.05 0.05 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
8.640000000000e+03 1.000000000000e+09 9.271248000000e-04 4.635624000000e-05 0.0 Boxfit
9.482389000000e+03 1.000000000000e+09 1.618263000000e-03 8.091315000000e-05 0.0 Boxfit
1.040691000000e+04 1.000000000000e+09 2.806898000000e-03 1.403449000000e-04 0.0 Boxfit
1.142157000000e+04 1.000000000000e+09 4.537760000000e-03 2.268880000000e-04 0.0 Boxfit
1.253516000000e+04 1.000000000000e+09 7.080253000000e-03 3.540126500000e-04 0.0 Boxfit
1.375732000000e+04 1.000000000000e+09 1.092289000000e-02 5.461445000000e-04 0.0 Boxfit
1.509865000000e+04 1.000000000000e+09 1.644689000000e-02 8.223445000000e-04 0.0 Boxfit
1.657074000000e+04 1.000000000000e+09 2.447502000000e-02 1.223751000000e-03 0.0 Boxfit
1.818637000000e+04 1.000000000000e+09 3.556128000000e-02 1.778064000000e-03 0.0 Boxfit
1.995952000000e+04 1.000000000000e+09 4.924817000000e-02 2.462408500000e-03 0.0 Boxfit
2.190555000000e+04 1.000000000000e+09 6.898091000000e-02 3.449045500000e-03 0.0 Boxfit
2.404131000000e+04 1.000000000000e+09 9.206135000000e-02 4.603067500000e-03 0.0 Boxfit
2.638531000000e+04 1.000000000000e+09 1.222588000000e-01 6.112940000000e-03 0.0 Boxfit
2.895785000000e+04 1.000000000000e+09 1.551542000000e-01 7.757710000000e-03 0.0 Boxfit
3.178120000000e+04 1.000000000000e+09 2.014827000000e-01 1.007413500000e-02 0.0 Boxfit
3.487983000000e+04 1.000000000000e+09 2.731895000000e-01 1.365947500000e-02 0.0 Boxfit
3.828057000000e+04 1.000000000000e+09 3.490271000000e-01 1.745135500000e-02 0.0 Boxfit
4.201288000000e+04 1.000000000000e+09 4.260207000000e-01 2.130103500000e-02 0.0 Boxfit
4.610908000000e+04 1.000000000000e+09 5.008636000000e-01 2.504318000000e-02 0.0 Boxfit
5.060466000000e+04 1.000000000000e+09 5.773255000000e-01 2.886627500000e-02 0.0 Boxfit
5.553855000000e+04 1.000000000000e+09 6.568684000000e-01 3.284342000000e-02 0.0 Boxfit
6.095349000000e+04 1.000000000000e+09 7.380808000000e-01 3.690404000000e-02 0.0 Boxfit
6.689638000000e+04 1.000000000000e+09 8.181034000000e-01 4.090517000000e-02 0.0 Boxfit
7.341870000000e+04 1.000000000000e+09 8.881309000000e-01 4.440654500000e-02 0.0 Boxfit
8.057693000000e+04 1.000000000000e+09 9.688971000000e-01 4.844485500000e-02 0.0 Boxfit
8.843308000000e+04 1.000000000000e+09 1.061186000000e+00 5.305930000000e-02 0.0 Boxfit
9.705520000000e+04 1.000000000000e+09 1.152023000000e+00 5.760115000000e-02 0.0 Boxfit
1.065180000000e+05 1.000000000000e+09 1.236570000000e+00 6.182850000000e-02 0.0 Boxfit
1.169033000000e+05 1.000000000000e+09 1.335426000000e+00 6.677130000000e-02 0.0 Boxfit
1.283013000000e+05 1.000000000000e+09 1.445322000000e+00 7.226610000000e-02 0.0 Boxfit
1.408105000000e+05 1.000000000000e+09 1.551315000000e+00 7.756575000000e-02 0.0 Boxfit
1.545393000000e+05 1.000000000000e+09 1.664211000000e+00 8.321055000000e-02 0.0 Boxfit
1.696067000000e+05 1.000000000000e+09 1.781097000000e+00 8.905485000000e-02 0.0 Boxfit
1.861432000000e+05 1.000000000000e+09 1.918967000000e+00 9.594835000000e-02 0.0 Boxfit
