# 0.16 1e+52 0.1 0.1 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
2.404131000000e+04 1.000000000000e+09 5.768137000000e-07 2.884068500000e-08 0.0 Boxfit
2.638531000000e+04 1.000000000000e+09 1.584404000000e-05 7.922020000000e-07 0.0 Boxfit
2.895785000000e+04 1.000000000000e+09 4.411505000000e-05 2.205752500000e-06 0.0 Boxfit
3.178120000000e+04 1.000000000000e+09 9.149776000000e-05 4.574888000000e-06 0.0 Boxfit
3.487983000000e+04 1.000000000000e+09 1.909266000000e-04 9.546330000000e-06 0.0 Boxfit
3.828057000000e+04 1.000000000000e+09 3.662200000000e-04 1.831100000000e-05 0.0 Boxfit
4.201288000000e+04 1.000000000000e+09 6.361129000000e-04 3.180564500000e-05 0.0 Boxfit
4.610908000000e+04 1.000000000000e+09 1.093492000000e-03 5.467460000000e-05 0.0 Boxfit
5.060466000000e+04 1.000000000000e+09 1.728764000000e-03 8.643820000000e-05 0.0 Boxfit
5.553855000000e+04 1.000000000000e+09 2.994738000000e-03 1.497369000000e-04 0.0 Boxfit
6.095349000000e+04 1.000000000000e+09 5.033150000000e-03 2.516575000000e-04 0.0 Boxfit
6.689638000000e+04 1.000000000000e+09 7.763965000000e-03 3.881982500000e-04 0.0 Boxfit
7.341870000000e+04 1.000000000000e+09 1.232408000000e-02 6.162040000000e-04 0.0 Boxfit
8.057693000000e+04 1.000000000000e+09 1.928755000000e-02 9.643775000000e-04 0.0 Boxfit
8.843308000000e+04 1.000000000000e+09 3.005441000000e-02 1.502720500000e-03 0.0 Boxfit
9.705520000000e+04 1.000000000000e+09 4.469800000000e-02 2.234900000000e-03 0.0 Boxfit
1.065180000000e+05 1.000000000000e+09 7.037676000000e-02 3.518838000000e-03 0.0 Boxfit
1.169033000000e+05 1.000000000000e+09 1.195117000000e-01 5.975585000000e-03 0.0 Boxfit
1.283013000000e+05 1.000000000000e+09 1.849189000000e-01 9.245945000000e-03 0.0 Boxfit
1.408105000000e+05 1.000000000000e+09 2.584757000000e-01 1.292378500000e-02 0.0 Boxfit
1.545393000000e+05 1.000000000000e+09 3.364984000000e-01 1.682492000000e-02 0.0 Boxfit
1.696067000000e+05 1.000000000000e+09 4.194603000000e-01 2.097301500000e-02 0.0 Boxfit
1.861432000000e+05 1.000000000000e+09 5.084381000000e-01 2.542190500000e-02 0.0 Boxfit
2.042919000000e+05 1.000000000000e+09 6.157843000000e-01 3.078921500000e-02 0.0 Boxfit
2.242101000000e+05 1.000000000000e+09 7.352995000000e-01 3.676497500000e-02 0.0 Boxfit
2.460703000000e+05 1.000000000000e+09 8.618838000000e-01 4.309419000000e-02 0.0 Boxfit
2.700618000000e+05 1.000000000000e+09 9.957338000000e-01 4.978669000000e-02 0.0 Boxfit
2.963925000000e+05 1.000000000000e+09 1.145183000000e+00 5.725915000000e-02 0.0 Boxfit
3.252905000000e+05 1.000000000000e+09 1.310365000000e+00 6.551825000000e-02 0.0 Boxfit
3.570059000000e+05 1.000000000000e+09 1.489942000000e+00 7.449710000000e-02 0.0 Boxfit
3.918135000000e+05 1.000000000000e+09 1.681250000000e+00 8.406250000000e-02 0.0 Boxfit
4.300148000000e+05 1.000000000000e+09 1.882364000000e+00 9.411820000000e-02 0.0 Boxfit
4.719408000000e+05 1.000000000000e+09 2.099337000000e+00 1.049668500000e-01 0.0 Boxfit
5.179544000000e+05 1.000000000000e+09 2.328332000000e+00 1.164166000000e-01 0.0 Boxfit
5.684543000000e+05 1.000000000000e+09 2.560724000000e+00 1.280362000000e-01 0.0 Boxfit
6.238779000000e+05 1.000000000000e+09 2.795656000000e+00 1.397828000000e-01 0.0 Boxfit
6.847052000000e+05 1.000000000000e+09 3.041576000000e+00 1.520788000000e-01 0.0 Boxfit
7.514631000000e+05 1.000000000000e+09 3.282107000000e+00 1.641053500000e-01 0.0 Boxfit
8.247299000000e+05 1.000000000000e+09 3.510791000000e+00 1.755395500000e-01 0.0 Boxfit
9.051400000000e+05 1.000000000000e+09 3.725821000000e+00 1.862910500000e-01 0.0 Boxfit
9.933900000000e+05 1.000000000000e+09 3.937574000000e+00 1.968787000000e-01 0.0 Boxfit
1.090244000000e+06 1.000000000000e+09 4.146035000000e+00 2.073017500000e-01 0.0 Boxfit
1.196542000000e+06 1.000000000000e+09 4.339506000000e+00 2.169753000000e-01 0.0 Boxfit
1.313203000000e+06 1.000000000000e+09 4.494908000000e+00 2.247454000000e-01 0.0 Boxfit
1.441239000000e+06 1.000000000000e+09 4.604558000000e+00 2.302279000000e-01 0.0 Boxfit
1.581758000000e+06 1.000000000000e+09 4.688133000000e+00 2.344066500000e-01 0.0 Boxfit
1.735977000000e+06 1.000000000000e+09 4.724508000000e+00 2.362254000000e-01 0.0 Boxfit
1.905233000000e+06 1.000000000000e+09 4.695432000000e+00 2.347716000000e-01 0.0 Boxfit
