# 0.0 1e+52 0.1 0.1 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
8.640000000000e+03 1.000000000000e+09 4.435444000000e+00 2.217722000000e-01 0.0 Boxfit
9.482389000000e+03 1.000000000000e+09 4.594251000000e+00 2.297125500000e-01 0.0 Boxfit
1.040691000000e+04 1.000000000000e+09 4.713773000000e+00 2.356886500000e-01 0.0 Boxfit
1.142157000000e+04 1.000000000000e+09 4.763945000000e+00 2.381972500000e-01 0.0 Boxfit
1.253516000000e+04 1.000000000000e+09 4.907992000000e+00 2.453996000000e-01 0.0 Boxfit
1.375732000000e+04 1.000000000000e+09 5.000483000000e+00 2.500241500000e-01 0.0 Boxfit
1.509865000000e+04 1.000000000000e+09 5.040706000000e+00 2.520353000000e-01 0.0 Boxfit
1.657074000000e+04 1.000000000000e+09 5.109412000000e+00 2.554706000000e-01 0.0 Boxfit
1.818637000000e+04 1.000000000000e+09 5.162697000000e+00 2.581348500000e-01 0.0 Boxfit
1.995952000000e+04 1.000000000000e+09 5.259659000000e+00 2.629829500000e-01 0.0 Boxfit
2.190555000000e+04 1.000000000000e+09 5.328192000000e+00 2.664096000000e-01 0.0 Boxfit
2.404131000000e+04 1.000000000000e+09 5.422926000000e+00 2.711463000000e-01 0.0 Boxfit
2.638531000000e+04 1.000000000000e+09 5.438689000000e+00 2.719344500000e-01 0.0 Boxfit
2.895785000000e+04 1.000000000000e+09 5.527294000000e+00 2.763647000000e-01 0.0 Boxfit
3.178120000000e+04 1.000000000000e+09 5.726585000000e+00 2.863292500000e-01 0.0 Boxfit
3.487983000000e+04 1.000000000000e+09 5.823101000000e+00 2.911550500000e-01 0.0 Boxfit
3.828057000000e+04 1.000000000000e+09 5.920137000000e+00 2.960068500000e-01 0.0 Boxfit
4.201288000000e+04 1.000000000000e+09 6.081122000000e+00 3.040561000000e-01 0.0 Boxfit
4.610908000000e+04 1.000000000000e+09 6.221266000000e+00 3.110633000000e-01 0.0 Boxfit
5.060466000000e+04 1.000000000000e+09 6.413955000000e+00 3.206977500000e-01 0.0 Boxfit
5.553855000000e+04 1.000000000000e+09 6.611605000000e+00 3.305802500000e-01 0.0 Boxfit
6.095349000000e+04 1.000000000000e+09 6.821880000000e+00 3.410940000000e-01 0.0 Boxfit
