# 0.04 1e+52 0.05 0.05 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
8.640000000000e+03 1.000000000000e+09 3.448331000000e+00 1.724165500000e-01 0.0 Boxfit
9.482389000000e+03 1.000000000000e+09 3.450124000000e+00 1.725062000000e-01 0.0 Boxfit
1.040691000000e+04 1.000000000000e+09 3.451992000000e+00 1.725996000000e-01 0.0 Boxfit
1.142157000000e+04 1.000000000000e+09 3.461096000000e+00 1.730548000000e-01 0.0 Boxfit
1.253516000000e+04 1.000000000000e+09 3.460893000000e+00 1.730446500000e-01 0.0 Boxfit
1.375732000000e+04 1.000000000000e+09 3.488754000000e+00 1.744377000000e-01 0.0 Boxfit
1.509865000000e+04 1.000000000000e+09 3.481877000000e+00 1.740938500000e-01 0.0 Boxfit
1.657074000000e+04 1.000000000000e+09 3.478624000000e+00 1.739312000000e-01 0.0 Boxfit
1.818637000000e+04 1.000000000000e+09 3.436558000000e+00 1.718279000000e-01 0.0 Boxfit
1.995952000000e+04 1.000000000000e+09 3.425395000000e+00 1.712697500000e-01 0.0 Boxfit
2.190555000000e+04 1.000000000000e+09 3.445012000000e+00 1.722506000000e-01 0.0 Boxfit
2.404131000000e+04 1.000000000000e+09 3.479315000000e+00 1.739657500000e-01 0.0 Boxfit
2.638531000000e+04 1.000000000000e+09 3.449255000000e+00 1.724627500000e-01 0.0 Boxfit
2.895785000000e+04 1.000000000000e+09 3.399135000000e+00 1.699567500000e-01 0.0 Boxfit
3.178120000000e+04 1.000000000000e+09 3.486776000000e+00 1.743388000000e-01 0.0 Boxfit
3.487983000000e+04 1.000000000000e+09 3.543307000000e+00 1.771653500000e-01 0.0 Boxfit
3.828057000000e+04 1.000000000000e+09 3.581421000000e+00 1.790710500000e-01 0.0 Boxfit
4.201288000000e+04 1.000000000000e+09 3.620659000000e+00 1.810329500000e-01 0.0 Boxfit
4.610908000000e+04 1.000000000000e+09 3.649263000000e+00 1.824631500000e-01 0.0 Boxfit
5.060466000000e+04 1.000000000000e+09 3.682849000000e+00 1.841424500000e-01 0.0 Boxfit
5.553855000000e+04 1.000000000000e+09 3.725770000000e+00 1.862885000000e-01 0.0 Boxfit
6.095349000000e+04 1.000000000000e+09 3.781712000000e+00 1.890856000000e-01 0.0 Boxfit
6.689638000000e+04 1.000000000000e+09 3.840744000000e+00 1.920372000000e-01 0.0 Boxfit
7.341870000000e+04 1.000000000000e+09 3.888641000000e+00 1.944320500000e-01 0.0 Boxfit
8.057693000000e+04 1.000000000000e+09 3.963519000000e+00 1.981759500000e-01 0.0 Boxfit
8.843308000000e+04 1.000000000000e+09 4.060816000000e+00 2.030408000000e-01 0.0 Boxfit
9.705520000000e+04 1.000000000000e+09 4.154392000000e+00 2.077196000000e-01 0.0 Boxfit
1.065180000000e+05 1.000000000000e+09 4.231692000000e+00 2.115846000000e-01 0.0 Boxfit
1.169033000000e+05 1.000000000000e+09 4.324680000000e+00 2.162340000000e-01 0.0 Boxfit
1.283013000000e+05 1.000000000000e+09 4.426884000000e+00 2.213442000000e-01 0.0 Boxfit
1.408105000000e+05 1.000000000000e+09 4.515110000000e+00 2.257555000000e-01 0.0 Boxfit
1.545393000000e+05 1.000000000000e+09 4.601654000000e+00 2.300827000000e-01 0.0 Boxfit
1.696067000000e+05 1.000000000000e+09 4.680044000000e+00 2.340022000000e-01 0.0 Boxfit
1.861432000000e+05 1.000000000000e+09 4.751144000000e+00 2.375572000000e-01 0.0 Boxfit
2.042919000000e+05 1.000000000000e+09 4.798220000000e+00 2.399110000000e-01 0.0 Boxfit
2.242101000000e+05 1.000000000000e+09 4.811018000000e+00 2.405509000000e-01 0.0 Boxfit
2.460703000000e+05 1.000000000000e+09 4.797739000000e+00 2.398869500000e-01 0.0 Boxfit
2.700618000000e+05 1.000000000000e+09 4.761998000000e+00 2.380999000000e-01 0.0 Boxfit
2.963925000000e+05 1.000000000000e+09 4.701189000000e+00 2.350594500000e-01 0.0 Boxfit
3.252905000000e+05 1.000000000000e+09 4.622040000000e+00 2.311020000000e-01 0.0 Boxfit
