# 0.08 1e+52 0.2 0.2 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
8.640000000000e+03 1.000000000000e+09 4.298015000000e+00 2.149007500000e-01 0.0 Boxfit
9.482389000000e+03 1.000000000000e+09 4.424803000000e+00 2.212401500000e-01 0.0 Boxfit
1.040691000000e+04 1.000000000000e+09 4.606001000000e+00 2.303000500000e-01 0.0 Boxfit
1.142157000000e+04 1.000000000000e+09 4.689087000000e+00 2.344543500000e-01 0.0 Boxfit
1.253516000000e+04 1.000000000000e+09 4.760530000000e+00 2.380265000000e-01 0.0 Boxfit
1.375732000000e+04 1.000000000000e+09 4.851960000000e+00 2.425980000000e-01 0.0 Boxfit
1.509865000000e+04 1.000000000000e+09 4.920535000000e+00 2.460267500000e-01 0.0 Boxfit
1.657074000000e+04 1.000000000000e+09 4.939363000000e+00 2.469681500000e-01 0.0 Boxfit
1.818637000000e+04 1.000000000000e+09 4.849011000000e+00 2.424505500000e-01 0.0 Boxfit
1.995952000000e+04 1.000000000000e+09 4.833171000000e+00 2.416585500000e-01 0.0 Boxfit
2.190555000000e+04 1.000000000000e+09 4.902596000000e+00 2.451298000000e-01 0.0 Boxfit
2.404131000000e+04 1.000000000000e+09 5.088129000000e+00 2.544064500000e-01 0.0 Boxfit
2.638531000000e+04 1.000000000000e+09 5.185037000000e+00 2.592518500000e-01 0.0 Boxfit
2.895785000000e+04 1.000000000000e+09 5.288893000000e+00 2.644446500000e-01 0.0 Boxfit
3.178120000000e+04 1.000000000000e+09 5.306262000000e+00 2.653131000000e-01 0.0 Boxfit
3.487983000000e+04 1.000000000000e+09 5.287435000000e+00 2.643717500000e-01 0.0 Boxfit
3.828057000000e+04 1.000000000000e+09 5.360611000000e+00 2.680305500000e-01 0.0 Boxfit
4.201288000000e+04 1.000000000000e+09 5.505691000000e+00 2.752845500000e-01 0.0 Boxfit
4.610908000000e+04 1.000000000000e+09 5.638966000000e+00 2.819483000000e-01 0.0 Boxfit
5.060466000000e+04 1.000000000000e+09 5.755675000000e+00 2.877837500000e-01 0.0 Boxfit
5.553855000000e+04 1.000000000000e+09 5.877938000000e+00 2.938969000000e-01 0.0 Boxfit
6.095349000000e+04 1.000000000000e+09 6.083163000000e+00 3.041581500000e-01 0.0 Boxfit
6.689638000000e+04 1.000000000000e+09 6.309755000000e+00 3.154877500000e-01 0.0 Boxfit
7.341870000000e+04 1.000000000000e+09 6.528928000000e+00 3.264464000000e-01 0.0 Boxfit
8.057693000000e+04 1.000000000000e+09 6.765461000000e+00 3.382730500000e-01 0.0 Boxfit
8.843308000000e+04 1.000000000000e+09 7.051221000000e+00 3.525610500000e-01 0.0 Boxfit
9.705520000000e+04 1.000000000000e+09 7.410160000000e+00 3.705080000000e-01 0.0 Boxfit
1.065180000000e+05 1.000000000000e+09 7.797474000000e+00 3.898737000000e-01 0.0 Boxfit
1.169033000000e+05 1.000000000000e+09 8.188250000000e+00 4.094125000000e-01 0.0 Boxfit
1.283013000000e+05 1.000000000000e+09 8.667086000000e+00 4.333543000000e-01 0.0 Boxfit
1.408105000000e+05 1.000000000000e+09 9.179121000000e+00 4.589560500000e-01 0.0 Boxfit
1.545393000000e+05 1.000000000000e+09 9.744401000000e+00 4.872200500000e-01 0.0 Boxfit
1.696067000000e+05 1.000000000000e+09 1.038045000000e+01 5.190225000000e-01 0.0 Boxfit
1.861432000000e+05 1.000000000000e+09 1.106784000000e+01 5.533920000000e-01 0.0 Boxfit
2.042919000000e+05 1.000000000000e+09 1.183315000000e+01 5.916575000000e-01 0.0 Boxfit
2.242101000000e+05 1.000000000000e+09 1.263380000000e+01 6.316900000000e-01 0.0 Boxfit
2.460703000000e+05 1.000000000000e+09 1.349266000000e+01 6.746330000000e-01 0.0 Boxfit
2.700618000000e+05 1.000000000000e+09 1.442043000000e+01 7.210215000000e-01 0.0 Boxfit
2.963925000000e+05 1.000000000000e+09 1.538808000000e+01 7.694040000000e-01 0.0 Boxfit
3.252905000000e+05 1.000000000000e+09 1.643216000000e+01 8.216080000000e-01 0.0 Boxfit
3.570059000000e+05 1.000000000000e+09 1.756636000000e+01 8.783180000000e-01 0.0 Boxfit
3.918135000000e+05 1.000000000000e+09 1.875471000000e+01 9.377355000000e-01 0.0 Boxfit
4.300148000000e+05 1.000000000000e+09 1.994165000000e+01 9.970825000000e-01 0.0 Boxfit
4.719408000000e+05 1.000000000000e+09 2.135441000000e+01 1.067720500000e+00 0.0 Boxfit
5.179544000000e+05 1.000000000000e+09 2.279620000000e+01 1.139810000000e+00 0.0 Boxfit
5.684543000000e+05 1.000000000000e+09 2.412401000000e+01 1.206200500000e+00 0.0 Boxfit
6.238779000000e+05 1.000000000000e+09 2.558999000000e+01 1.279499500000e+00 0.0 Boxfit
6.847052000000e+05 1.000000000000e+09 2.711341000000e+01 1.355670500000e+00 0.0 Boxfit
7.514631000000e+05 1.000000000000e+09 2.853395000000e+01 1.426697500000e+00 0.0 Boxfit
8.247299000000e+05 1.000000000000e+09 2.989583000000e+01 1.494791500000e+00 0.0 Boxfit
9.051400000000e+05 1.000000000000e+09 3.128531000000e+01 1.564265500000e+00 0.0 Boxfit
9.933900000000e+05 1.000000000000e+09 3.259016000000e+01 1.629508000000e+00 0.0 Boxfit
1.090244000000e+06 1.000000000000e+09 3.365573000000e+01 1.682786500000e+00 0.0 Boxfit
1.196542000000e+06 1.000000000000e+09 3.433456000000e+01 1.716728000000e+00 0.0 Boxfit
1.313203000000e+06 1.000000000000e+09 3.441860000000e+01 1.720930000000e+00 0.0 Boxfit
1.441239000000e+06 1.000000000000e+09 3.375530000000e+01 1.687765000000e+00 0.0 Boxfit
1.581758000000e+06 1.000000000000e+09 3.251333000000e+01 1.625666500000e+00 0.0 Boxfit
1.735977000000e+06 1.000000000000e+09 3.092134000000e+01 1.546067000000e+00 0.0 Boxfit
1.905233000000e+06 1.000000000000e+09 2.892560000000e+01 1.446280000000e+00 0.0 Boxfit
2.090991000000e+06 1.000000000000e+09 2.685667000000e+01 1.342833500000e+00 0.0 Boxfit
2.294860000000e+06 1.000000000000e+09 2.474905000000e+01 1.237452500000e+00 0.0 Boxfit
2.518606000000e+06 1.000000000000e+09 2.259324000000e+01 1.129662000000e+00 0.0 Boxfit
2.764167000000e+06 1.000000000000e+09 2.036666000000e+01 1.018333000000e+00 0.0 Boxfit
3.033670000000e+06 1.000000000000e+09 1.805587000000e+01 9.027935000000e-01 0.0 Boxfit
3.329449000000e+06 1.000000000000e+09 1.587041000000e+01 7.935205000000e-01 0.0 Boxfit
3.654066000000e+06 1.000000000000e+09 1.376776000000e+01 6.883880000000e-01 0.0 Boxfit
4.010333000000e+06 1.000000000000e+09 1.166072000000e+01 5.830360000000e-01 0.0 Boxfit
4.401335000000e+06 1.000000000000e+09 9.632161000000e+00 4.816080500000e-01 0.0 Boxfit
4.830460000000e+06 1.000000000000e+09 7.753235000000e+00 3.876617500000e-01 0.0 Boxfit
5.301424000000e+06 1.000000000000e+09 6.139662000000e+00 3.069831000000e-01 0.0 Boxfit
5.818306000000e+06 1.000000000000e+09 4.777537000000e+00 2.388768500000e-01 0.0 Boxfit
6.385584000000e+06 1.000000000000e+09 3.737298000000e+00 1.868649000000e-01 0.0 Boxfit
7.008170000000e+06 1.000000000000e+09 2.924498000000e+00 1.462249000000e-01 0.0 Boxfit
7.691458000000e+06 1.000000000000e+09 2.257252000000e+00 1.128626000000e-01 0.0 Boxfit
8.441366000000e+06 1.000000000000e+09 1.737584000000e+00 8.687920000000e-02 0.0 Boxfit
9.264389000000e+06 1.000000000000e+09 1.346691000000e+00 6.733455000000e-02 0.0 Boxfit
1.016766000000e+07 1.000000000000e+09 1.046636000000e+00 5.233180000000e-02 0.0 Boxfit
1.115899000000e+07 1.000000000000e+09 8.081158000000e-01 4.040579000000e-02 0.0 Boxfit
1.224698000000e+07 1.000000000000e+09 6.261858000000e-01 3.130929000000e-02 0.0 Boxfit
1.344104000000e+07 1.000000000000e+09 4.883493000000e-01 2.441746500000e-02 0.0 Boxfit
1.475153000000e+07 1.000000000000e+09 3.788030000000e-01 1.894015000000e-02 0.0 Boxfit
1.618978000000e+07 1.000000000000e+09 2.970588000000e-01 1.485294000000e-02 0.0 Boxfit
1.776827000000e+07 1.000000000000e+09 2.321317000000e-01 1.160658500000e-02 0.0 Boxfit
1.950065000000e+07 1.000000000000e+09 1.827429000000e-01 9.137145000000e-03 0.0 Boxfit
2.140194000000e+07 1.000000000000e+09 1.441971000000e-01 7.209855000000e-03 0.0 Boxfit
2.348860000000e+07 1.000000000000e+09 1.140741000000e-01 5.703705000000e-03 0.0 Boxfit
2.577871000000e+07 1.000000000000e+09 9.074191000000e-02 4.537095500000e-03 0.0 Boxfit
2.829210000000e+07 1.000000000000e+09 7.233271000000e-02 3.616635500000e-03 0.0 Boxfit
3.105055000000e+07 1.000000000000e+09 5.805300000000e-02 2.902650000000e-03 0.0 Boxfit
3.407794000000e+07 1.000000000000e+09 4.662828000000e-02 2.331414000000e-03 0.0 Boxfit
3.740050000000e+07 1.000000000000e+09 3.775507000000e-02 1.887753500000e-03 0.0 Boxfit
4.104700000000e+07 1.000000000000e+09 3.065602000000e-02 1.532801000000e-03 0.0 Boxfit
4.504903000000e+07 1.000000000000e+09 2.500682000000e-02 1.250341000000e-03 0.0 Boxfit
4.944126000000e+07 1.000000000000e+09 2.049024000000e-02 1.024512000000e-03 0.0 Boxfit
5.426172000000e+07 1.000000000000e+09 1.684286000000e-02 8.421430000000e-04 0.0 Boxfit
5.955217000000e+07 1.000000000000e+09 1.393552000000e-02 6.967760000000e-04 0.0 Boxfit
6.535843000000e+07 1.000000000000e+09 1.156142000000e-02 5.780710000000e-04 0.0 Boxfit
7.173080000000e+07 1.000000000000e+09 9.639986000000e-03 4.819993000000e-04 0.0 Boxfit
7.872446000000e+07 1.000000000000e+09 8.052007000000e-03 4.026003500000e-04 0.0 Boxfit
8.640000000000e+07 1.000000000000e+09 6.781307000000e-03 3.390653500000e-04 0.0 Boxfit
8.640000000000e+03 1.000000000000e+14 1.629894000000e+01 8.149470000000e-01 0.0 Boxfit
9.482389000000e+03 1.000000000000e+14 1.481552000000e+01 7.407760000000e-01 0.0 Boxfit
1.040691000000e+04 1.000000000000e+14 1.390536000000e+01 6.952680000000e-01 0.0 Boxfit
1.142157000000e+04 1.000000000000e+14 1.259791000000e+01 6.298955000000e-01 0.0 Boxfit
1.253516000000e+04 1.000000000000e+14 1.141823000000e+01 5.709115000000e-01 0.0 Boxfit
1.375732000000e+04 1.000000000000e+14 1.043785000000e+01 5.218925000000e-01 0.0 Boxfit
1.509865000000e+04 1.000000000000e+14 9.527559000000e+00 4.763779500000e-01 0.0 Boxfit
1.657074000000e+04 1.000000000000e+14 8.520370000000e+00 4.260185000000e-01 0.0 Boxfit
1.818637000000e+04 1.000000000000e+14 7.302050000000e+00 3.651025000000e-01 0.0 Boxfit
1.995952000000e+04 1.000000000000e+14 6.450916000000e+00 3.225458000000e-01 0.0 Boxfit
2.190555000000e+04 1.000000000000e+14 5.853564000000e+00 2.926782000000e-01 0.0 Boxfit
2.404131000000e+04 1.000000000000e+14 5.475928000000e+00 2.737964000000e-01 0.0 Boxfit
2.638531000000e+04 1.000000000000e+14 4.976460000000e+00 2.488230000000e-01 0.0 Boxfit
2.895785000000e+04 1.000000000000e+14 4.477641000000e+00 2.238820500000e-01 0.0 Boxfit
3.178120000000e+04 1.000000000000e+14 3.947944000000e+00 1.973972000000e-01 0.0 Boxfit
3.487983000000e+04 1.000000000000e+14 3.431919000000e+00 1.715959500000e-01 0.0 Boxfit
3.828057000000e+04 1.000000000000e+14 3.031270000000e+00 1.515635000000e-01 0.0 Boxfit
4.201288000000e+04 1.000000000000e+14 2.751749000000e+00 1.375874500000e-01 0.0 Boxfit
4.610908000000e+04 1.000000000000e+14 2.462605000000e+00 1.231302500000e-01 0.0 Boxfit
5.060466000000e+04 1.000000000000e+14 2.174052000000e+00 1.087026000000e-01 0.0 Boxfit
5.553855000000e+04 1.000000000000e+14 1.907606000000e+00 9.538030000000e-02 0.0 Boxfit
6.095349000000e+04 1.000000000000e+14 1.710667000000e+00 8.553335000000e-02 0.0 Boxfit
6.689638000000e+04 1.000000000000e+14 1.541007000000e+00 7.705035000000e-02 0.0 Boxfit
7.341870000000e+04 1.000000000000e+14 1.364202000000e+00 6.821010000000e-02 0.0 Boxfit
8.057693000000e+04 1.000000000000e+14 1.192283000000e+00 5.961415000000e-02 0.0 Boxfit
8.843308000000e+04 1.000000000000e+14 1.067841000000e+00 5.339205000000e-02 0.0 Boxfit
9.705520000000e+04 1.000000000000e+14 9.706177000000e-01 4.853088500000e-02 0.0 Boxfit
1.065180000000e+05 1.000000000000e+14 8.781806000000e-01 4.390903000000e-02 0.0 Boxfit
1.169033000000e+05 1.000000000000e+14 7.771686000000e-01 3.885843000000e-02 0.0 Boxfit
1.283013000000e+05 1.000000000000e+14 7.056889000000e-01 3.528444500000e-02 0.0 Boxfit
1.408105000000e+05 1.000000000000e+14 6.372991000000e-01 3.186495500000e-02 0.0 Boxfit
1.545393000000e+05 1.000000000000e+14 5.795676000000e-01 2.897838000000e-02 0.0 Boxfit
1.696067000000e+05 1.000000000000e+14 5.285654000000e-01 2.642827000000e-02 0.0 Boxfit
1.861432000000e+05 1.000000000000e+14 4.842985000000e-01 2.421492500000e-02 0.0 Boxfit
2.042919000000e+05 1.000000000000e+14 4.476298000000e-01 2.238149000000e-02 0.0 Boxfit
2.242101000000e+05 1.000000000000e+14 4.100774000000e-01 2.050387000000e-02 0.0 Boxfit
2.460703000000e+05 1.000000000000e+14 3.771425000000e-01 1.885712500000e-02 0.0 Boxfit
2.700618000000e+05 1.000000000000e+14 3.484576000000e-01 1.742288000000e-02 0.0 Boxfit
2.963925000000e+05 1.000000000000e+14 3.192256000000e-01 1.596128000000e-02 0.0 Boxfit
3.252905000000e+05 1.000000000000e+14 2.979226000000e-01 1.489613000000e-02 0.0 Boxfit
3.570059000000e+05 1.000000000000e+14 2.780491000000e-01 1.390245500000e-02 0.0 Boxfit
3.918135000000e+05 1.000000000000e+14 2.580766000000e-01 1.290383000000e-02 0.0 Boxfit
4.300148000000e+05 1.000000000000e+14 2.353704000000e-01 1.176852000000e-02 0.0 Boxfit
4.719408000000e+05 1.000000000000e+14 2.167882000000e-01 1.083941000000e-02 0.0 Boxfit
5.179544000000e+05 1.000000000000e+14 1.982128000000e-01 9.910640000000e-03 0.0 Boxfit
5.684543000000e+05 1.000000000000e+14 1.806396000000e-01 9.031980000000e-03 0.0 Boxfit
6.238779000000e+05 1.000000000000e+14 1.655058000000e-01 8.275290000000e-03 0.0 Boxfit
6.847052000000e+05 1.000000000000e+14 1.513057000000e-01 7.565285000000e-03 0.0 Boxfit
7.514631000000e+05 1.000000000000e+14 1.368772000000e-01 6.843860000000e-03 0.0 Boxfit
8.247299000000e+05 1.000000000000e+14 1.240972000000e-01 6.204860000000e-03 0.0 Boxfit
9.051400000000e+05 1.000000000000e+14 1.122913000000e-01 5.614565000000e-03 0.0 Boxfit
9.933900000000e+05 1.000000000000e+14 1.010608000000e-01 5.053040000000e-03 0.0 Boxfit
1.090244000000e+06 1.000000000000e+14 9.086243000000e-02 4.543121500000e-03 0.0 Boxfit
1.196542000000e+06 1.000000000000e+14 8.162426000000e-02 4.081213000000e-03 0.0 Boxfit
1.313203000000e+06 1.000000000000e+14 7.296462000000e-02 3.648231000000e-03 0.0 Boxfit
1.441239000000e+06 1.000000000000e+14 6.494483000000e-02 3.247241500000e-03 0.0 Boxfit
1.581758000000e+06 1.000000000000e+14 5.752818000000e-02 2.876409000000e-03 0.0 Boxfit
1.735977000000e+06 1.000000000000e+14 5.086283000000e-02 2.543141500000e-03 0.0 Boxfit
1.905233000000e+06 1.000000000000e+14 4.448971000000e-02 2.224485500000e-03 0.0 Boxfit
2.090991000000e+06 1.000000000000e+14 3.893213000000e-02 1.946606500000e-03 0.0 Boxfit
2.294860000000e+06 1.000000000000e+14 3.386812000000e-02 1.693406000000e-03 0.0 Boxfit
2.518606000000e+06 1.000000000000e+14 2.926599000000e-02 1.463299500000e-03 0.0 Boxfit
2.764167000000e+06 1.000000000000e+14 2.501671000000e-02 1.250835500000e-03 0.0 Boxfit
3.033670000000e+06 1.000000000000e+14 2.105997000000e-02 1.052998500000e-03 0.0 Boxfit
3.329449000000e+06 1.000000000000e+14 1.762337000000e-02 8.811685000000e-04 0.0 Boxfit
3.654066000000e+06 1.000000000000e+14 1.467694000000e-02 7.338470000000e-04 0.0 Boxfit
4.010333000000e+06 1.000000000000e+14 1.205400000000e-02 6.027000000000e-04 0.0 Boxfit
4.401335000000e+06 1.000000000000e+14 9.776203000000e-03 4.888101500000e-04 0.0 Boxfit
4.830460000000e+06 1.000000000000e+14 7.812584000000e-03 3.906292000000e-04 0.0 Boxfit
5.301424000000e+06 1.000000000000e+14 6.169053000000e-03 3.084526500000e-04 0.0 Boxfit
5.818306000000e+06 1.000000000000e+14 4.792420000000e-03 2.396210000000e-04 0.0 Boxfit
6.385584000000e+06 1.000000000000e+14 3.744981000000e-03 1.872490500000e-04 0.0 Boxfit
7.008170000000e+06 1.000000000000e+14 2.928393000000e-03 1.464196500000e-04 0.0 Boxfit
7.691458000000e+06 1.000000000000e+14 2.259153000000e-03 1.129576500000e-04 0.0 Boxfit
8.441366000000e+06 1.000000000000e+14 1.738524000000e-03 8.692620000000e-05 0.0 Boxfit
9.264389000000e+06 1.000000000000e+14 1.347172000000e-03 6.735860000000e-05 0.0 Boxfit
1.016766000000e+07 1.000000000000e+14 1.046881000000e-03 5.234405000000e-05 0.0 Boxfit
1.115899000000e+07 1.000000000000e+14 8.082397000000e-04 4.041198500000e-05 0.0 Boxfit
1.224698000000e+07 1.000000000000e+14 6.262505000000e-04 3.131252500000e-05 0.0 Boxfit
1.344104000000e+07 1.000000000000e+14 4.883833000000e-04 2.441916500000e-05 0.0 Boxfit
1.475153000000e+07 1.000000000000e+14 3.788210000000e-04 1.894105000000e-05 0.0 Boxfit
1.618978000000e+07 1.000000000000e+14 2.970686000000e-04 1.485343000000e-05 0.0 Boxfit
1.776827000000e+07 1.000000000000e+14 2.321369000000e-04 1.160684500000e-05 0.0 Boxfit
1.950065000000e+07 1.000000000000e+14 1.827458000000e-04 9.137290000000e-06 0.0 Boxfit
2.140194000000e+07 1.000000000000e+14 1.441987000000e-04 7.209935000000e-06 0.0 Boxfit
2.348860000000e+07 1.000000000000e+14 1.140750000000e-04 5.703750000000e-06 0.0 Boxfit
2.577871000000e+07 1.000000000000e+14 9.074242000000e-05 4.537121000000e-06 0.0 Boxfit
2.829210000000e+07 1.000000000000e+14 7.233301000000e-05 3.616650500000e-06 0.0 Boxfit
3.105055000000e+07 1.000000000000e+14 5.805318000000e-05 2.902659000000e-06 0.0 Boxfit
3.407794000000e+07 1.000000000000e+14 4.662839000000e-05 2.331419500000e-06 0.0 Boxfit
3.740050000000e+07 1.000000000000e+14 3.775513000000e-05 1.887756500000e-06 0.0 Boxfit
4.104700000000e+07 1.000000000000e+14 3.065617000000e-05 1.532808500000e-06 0.0 Boxfit
4.504903000000e+07 1.000000000000e+14 2.500696000000e-05 1.250348000000e-06 0.0 Boxfit
4.944126000000e+07 1.000000000000e+14 2.049027000000e-05 1.024513500000e-06 0.0 Boxfit
5.426172000000e+07 1.000000000000e+14 1.684291000000e-05 8.421455000000e-07 0.0 Boxfit
5.955217000000e+07 1.000000000000e+14 1.393570000000e-05 6.967850000000e-07 0.0 Boxfit
6.535843000000e+07 1.000000000000e+14 1.156163000000e-05 5.780815000000e-07 0.0 Boxfit
