# 0.64 1e+52 0.05 0.05 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
2.294860000000e+06 1.000000000000e+09 1.639946000000e-09 8.199730000000e-11 0.0 Boxfit
2.518606000000e+06 1.000000000000e+09 9.004969000000e-09 4.502484500000e-10 0.0 Boxfit
2.764167000000e+06 1.000000000000e+09 4.060585000000e-08 2.030292500000e-09 0.0 Boxfit
3.033670000000e+06 1.000000000000e+09 6.920173000000e-08 3.460086500000e-09 0.0 Boxfit
3.329449000000e+06 1.000000000000e+09 7.840375000000e-08 3.920187500000e-09 0.0 Boxfit
3.654066000000e+06 1.000000000000e+09 1.730839000000e-07 8.654195000000e-09 0.0 Boxfit
4.010333000000e+06 1.000000000000e+09 3.205680000000e-07 1.602840000000e-08 0.0 Boxfit
4.401335000000e+06 1.000000000000e+09 5.963063000000e-07 2.981531500000e-08 0.0 Boxfit
4.830460000000e+06 1.000000000000e+09 1.176578000000e-06 5.882890000000e-08 0.0 Boxfit
5.301424000000e+06 1.000000000000e+09 1.821524000000e-06 9.107620000000e-08 0.0 Boxfit
5.818306000000e+06 1.000000000000e+09 2.749703000000e-06 1.374851500000e-07 0.0 Boxfit
6.385584000000e+06 1.000000000000e+09 5.116773000000e-06 2.558386500000e-07 0.0 Boxfit
7.008170000000e+06 1.000000000000e+09 9.420208000000e-06 4.710104000000e-07 0.0 Boxfit
7.691458000000e+06 1.000000000000e+09 2.030503000000e-05 1.015251500000e-06 0.0 Boxfit
8.441366000000e+06 1.000000000000e+09 3.078460000000e-05 1.539230000000e-06 0.0 Boxfit
9.264389000000e+06 1.000000000000e+09 4.521425000000e-05 2.260712500000e-06 0.0 Boxfit
1.016766000000e+07 1.000000000000e+09 3.408606000000e-04 1.704303000000e-05 0.0 Boxfit
1.115899000000e+07 1.000000000000e+09 5.858105000000e-04 2.929052500000e-05 0.0 Boxfit
1.224698000000e+07 1.000000000000e+09 9.352856000000e-04 4.676428000000e-05 0.0 Boxfit
1.344104000000e+07 1.000000000000e+09 1.653383000000e-03 8.266915000000e-05 0.0 Boxfit
1.475153000000e+07 1.000000000000e+09 2.924677000000e-03 1.462338500000e-04 0.0 Boxfit
1.618978000000e+07 1.000000000000e+09 4.187347000000e-03 2.093673500000e-04 0.0 Boxfit
1.776827000000e+07 1.000000000000e+09 5.827240000000e-03 2.913620000000e-04 0.0 Boxfit
1.950065000000e+07 1.000000000000e+09 7.163829000000e-03 3.581914500000e-04 0.0 Boxfit
2.140194000000e+07 1.000000000000e+09 7.991003000000e-03 3.995501500000e-04 0.0 Boxfit
2.348860000000e+07 1.000000000000e+09 8.461267000000e-03 4.230633500000e-04 0.0 Boxfit
2.577871000000e+07 1.000000000000e+09 8.836675000000e-03 4.418337500000e-04 0.0 Boxfit
2.829210000000e+07 1.000000000000e+09 8.414716000000e-03 4.207358000000e-04 0.0 Boxfit
3.105055000000e+07 1.000000000000e+09 6.734217000000e-03 3.367108500000e-04 0.0 Boxfit
3.407794000000e+07 1.000000000000e+09 6.232053000000e-03 3.116026500000e-04 0.0 Boxfit
3.740050000000e+07 1.000000000000e+09 4.086665000000e-03 2.043332500000e-04 0.0 Boxfit
4.104700000000e+07 1.000000000000e+09 3.095488000000e-03 1.547744000000e-04 0.0 Boxfit
4.504903000000e+07 1.000000000000e+09 2.066010000000e-03 1.033005000000e-04 0.0 Boxfit
4.944126000000e+07 1.000000000000e+09 1.343942000000e-03 6.719710000000e-05 0.0 Boxfit
5.426172000000e+07 1.000000000000e+09 9.025142000000e-04 4.512571000000e-05 0.0 Boxfit
5.955217000000e+07 1.000000000000e+09 6.254078000000e-04 3.127039000000e-05 0.0 Boxfit
6.535843000000e+07 1.000000000000e+09 4.408096000000e-04 2.204048000000e-05 0.0 Boxfit
7.173080000000e+07 1.000000000000e+09 3.237814000000e-04 1.618907000000e-05 0.0 Boxfit
7.872446000000e+07 1.000000000000e+09 2.483411000000e-04 1.241705500000e-05 0.0 Boxfit
8.640000000000e+07 1.000000000000e+09 1.909406000000e-04 9.547030000000e-06 0.0 Boxfit
2.294860000000e+06 1.000000000000e+14 5.539275000000e-11 2.769637500000e-12 0.0 Boxfit
2.518606000000e+06 1.000000000000e+14 2.973527000000e-10 1.486763500000e-11 0.0 Boxfit
2.764167000000e+06 1.000000000000e+14 2.596228000000e-09 1.298114000000e-10 0.0 Boxfit
3.033670000000e+06 1.000000000000e+14 3.356657000000e-09 1.678328500000e-10 0.0 Boxfit
3.329449000000e+06 1.000000000000e+14 1.205147000000e-09 6.025735000000e-11 0.0 Boxfit
3.654066000000e+06 1.000000000000e+14 3.217746000000e-09 1.608873000000e-10 0.0 Boxfit
4.010333000000e+06 1.000000000000e+14 5.424280000000e-09 2.712140000000e-10 0.0 Boxfit
4.401335000000e+06 1.000000000000e+14 9.794320000000e-09 4.897160000000e-10 0.0 Boxfit
4.830460000000e+06 1.000000000000e+14 2.404795000000e-08 1.202397500000e-09 0.0 Boxfit
5.301424000000e+06 1.000000000000e+14 2.595577000000e-08 1.297788500000e-09 0.0 Boxfit
5.818306000000e+06 1.000000000000e+14 2.074701000000e-08 1.037350500000e-09 0.0 Boxfit
6.385584000000e+06 1.000000000000e+14 3.529150000000e-08 1.764575000000e-09 0.0 Boxfit
7.008170000000e+06 1.000000000000e+14 7.127378000000e-08 3.563689000000e-09 0.0 Boxfit
7.691458000000e+06 1.000000000000e+14 1.867883000000e-07 9.339415000000e-09 0.0 Boxfit
8.441366000000e+06 1.000000000000e+14 1.928974000000e-07 9.644870000000e-09 0.0 Boxfit
9.264389000000e+06 1.000000000000e+14 1.657334000000e-07 8.286670000000e-09 0.0 Boxfit
1.016766000000e+07 1.000000000000e+14 6.648218000000e-07 3.324109000000e-08 0.0 Boxfit
1.115899000000e+07 1.000000000000e+14 9.312637000000e-07 4.656318500000e-08 0.0 Boxfit
1.224698000000e+07 1.000000000000e+14 1.330958000000e-06 6.654790000000e-08 0.0 Boxfit
1.344104000000e+07 1.000000000000e+14 2.129143000000e-06 1.064571500000e-07 0.0 Boxfit
1.475153000000e+07 1.000000000000e+14 3.311617000000e-06 1.655808500000e-07 0.0 Boxfit
1.618978000000e+07 1.000000000000e+14 4.516967000000e-06 2.258483500000e-07 0.0 Boxfit
1.776827000000e+07 1.000000000000e+14 6.023177000000e-06 3.011588500000e-07 0.0 Boxfit
1.950065000000e+07 1.000000000000e+14 7.192157000000e-06 3.596078500000e-07 0.0 Boxfit
2.140194000000e+07 1.000000000000e+14 7.991745000000e-06 3.995872500000e-07 0.0 Boxfit
2.348860000000e+07 1.000000000000e+14 8.461932000000e-06 4.230966000000e-07 0.0 Boxfit
2.577871000000e+07 1.000000000000e+14 8.837242000000e-06 4.418621000000e-07 0.0 Boxfit
2.829210000000e+07 1.000000000000e+14 8.415121000000e-06 4.207560500000e-07 0.0 Boxfit
3.105055000000e+07 1.000000000000e+14 6.734447000000e-06 3.367223500000e-07 0.0 Boxfit
3.407794000000e+07 1.000000000000e+14 6.232199000000e-06 3.116099500000e-07 0.0 Boxfit
3.740050000000e+07 1.000000000000e+14 4.086712000000e-06 2.043356000000e-07 0.0 Boxfit
4.104700000000e+07 1.000000000000e+14 3.095506000000e-06 1.547753000000e-07 0.0 Boxfit
4.504903000000e+07 1.000000000000e+14 2.066022000000e-06 1.033011000000e-07 0.0 Boxfit
