# 0.0 1e+52 0.2 0.2 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
8.640000000000e+03 1.000000000000e+09 4.304466000000e+00 2.152233000000e-01 0.0 Boxfit
9.482389000000e+03 1.000000000000e+09 4.470049000000e+00 2.235024500000e-01 0.0 Boxfit
1.040691000000e+04 1.000000000000e+09 4.607248000000e+00 2.303624000000e-01 0.0 Boxfit
1.142157000000e+04 1.000000000000e+09 4.694203000000e+00 2.347101500000e-01 0.0 Boxfit
1.253516000000e+04 1.000000000000e+09 4.725188000000e+00 2.362594000000e-01 0.0 Boxfit
1.375732000000e+04 1.000000000000e+09 4.806293000000e+00 2.403146500000e-01 0.0 Boxfit
1.509865000000e+04 1.000000000000e+09 4.864311000000e+00 2.432155500000e-01 0.0 Boxfit
1.657074000000e+04 1.000000000000e+09 4.913716000000e+00 2.456858000000e-01 0.0 Boxfit
1.818637000000e+04 1.000000000000e+09 4.965507000000e+00 2.482753500000e-01 0.0 Boxfit
1.995952000000e+04 1.000000000000e+09 4.995023000000e+00 2.497511500000e-01 0.0 Boxfit
2.190555000000e+04 1.000000000000e+09 4.965992000000e+00 2.482996000000e-01 0.0 Boxfit
2.404131000000e+04 1.000000000000e+09 5.096194000000e+00 2.548097000000e-01 0.0 Boxfit
2.638531000000e+04 1.000000000000e+09 5.163704000000e+00 2.581852000000e-01 0.0 Boxfit
2.895785000000e+04 1.000000000000e+09 5.176846000000e+00 2.588423000000e-01 0.0 Boxfit
3.178120000000e+04 1.000000000000e+09 5.231428000000e+00 2.615714000000e-01 0.0 Boxfit
3.487983000000e+04 1.000000000000e+09 5.304943000000e+00 2.652471500000e-01 0.0 Boxfit
3.828057000000e+04 1.000000000000e+09 5.422032000000e+00 2.711016000000e-01 0.0 Boxfit
4.201288000000e+04 1.000000000000e+09 5.532880000000e+00 2.766440000000e-01 0.0 Boxfit
4.610908000000e+04 1.000000000000e+09 5.646256000000e+00 2.823128000000e-01 0.0 Boxfit
