# 0.04 1e+52 0.2 0.2 0.0 0.0 0.0 0.0 0.001 2.2 0.1 0.01 1.0 3.09e+26 0.0228
# t(s) nu(Hz) Fnu(mJy) eFnu(mJy) upperlimit Instrument
8.640000000000e+03 1.000000000000e+09 4.295680000000e+00 2.147840000000e-01 0.0 Boxfit
9.482389000000e+03 1.000000000000e+09 4.421843000000e+00 2.210921500000e-01 0.0 Boxfit
1.040691000000e+04 1.000000000000e+09 4.602389000000e+00 2.301194500000e-01 0.0 Boxfit
1.142157000000e+04 1.000000000000e+09 4.685025000000e+00 2.342512500000e-01 0.0 Boxfit
1.253516000000e+04 1.000000000000e+09 4.756361000000e+00 2.378180500000e-01 0.0 Boxfit
1.375732000000e+04 1.000000000000e+09 4.847664000000e+00 2.423832000000e-01 0.0 Boxfit
1.509865000000e+04 1.000000000000e+09 4.916251000000e+00 2.458125500000e-01 0.0 Boxfit
1.657074000000e+04 1.000000000000e+09 4.935155000000e+00 2.467577500000e-01 0.0 Boxfit
1.818637000000e+04 1.000000000000e+09 4.845136000000e+00 2.422568000000e-01 0.0 Boxfit
1.995952000000e+04 1.000000000000e+09 4.830028000000e+00 2.415014000000e-01 0.0 Boxfit
2.190555000000e+04 1.000000000000e+09 4.900938000000e+00 2.450469000000e-01 0.0 Boxfit
2.404131000000e+04 1.000000000000e+09 5.088569000000e+00 2.544284500000e-01 0.0 Boxfit
2.638531000000e+04 1.000000000000e+09 5.188372000000e+00 2.594186000000e-01 0.0 Boxfit
2.895785000000e+04 1.000000000000e+09 5.295656000000e+00 2.647828000000e-01 0.0 Boxfit
3.178120000000e+04 1.000000000000e+09 5.316532000000e+00 2.658266000000e-01 0.0 Boxfit
3.487983000000e+04 1.000000000000e+09 5.300762000000e+00 2.650381000000e-01 0.0 Boxfit
3.828057000000e+04 1.000000000000e+09 5.376754000000e+00 2.688377000000e-01 0.0 Boxfit
4.201288000000e+04 1.000000000000e+09 5.523951000000e+00 2.761975500000e-01 0.0 Boxfit
4.610908000000e+04 1.000000000000e+09 5.658652000000e+00 2.829326000000e-01 0.0 Boxfit
5.060466000000e+04 1.000000000000e+09 5.775408000000e+00 2.887704000000e-01 0.0 Boxfit
5.553855000000e+04 1.000000000000e+09 5.894395000000e+00 2.947197500000e-01 0.0 Boxfit
6.095349000000e+04 1.000000000000e+09 6.092018000000e+00 3.046009000000e-01 0.0 Boxfit
6.689638000000e+04 1.000000000000e+09 6.316399000000e+00 3.158199500000e-01 0.0 Boxfit
7.341870000000e+04 1.000000000000e+09 6.535862000000e+00 3.267931000000e-01 0.0 Boxfit
8.057693000000e+04 1.000000000000e+09 6.774666000000e+00 3.387333000000e-01 0.0 Boxfit
8.843308000000e+04 1.000000000000e+09 7.063392000000e+00 3.531696000000e-01 0.0 Boxfit
9.705520000000e+04 1.000000000000e+09 7.429062000000e+00 3.714531000000e-01 0.0 Boxfit
1.065180000000e+05 1.000000000000e+09 7.822556000000e+00 3.911278000000e-01 0.0 Boxfit
1.169033000000e+05 1.000000000000e+09 8.216972000000e+00 4.108486000000e-01 0.0 Boxfit
1.283013000000e+05 1.000000000000e+09 8.690166000000e+00 4.345083000000e-01 0.0 Boxfit
1.408105000000e+05 1.000000000000e+09 9.205390000000e+00 4.602695000000e-01 0.0 Boxfit
1.545393000000e+05 1.000000000000e+09 9.783065000000e+00 4.891532500000e-01 0.0 Boxfit
1.696067000000e+05 1.000000000000e+09 1.041162000000e+01 5.205810000000e-01 0.0 Boxfit
1.861432000000e+05 1.000000000000e+09 1.110532000000e+01 5.552660000000e-01 0.0 Boxfit
2.042919000000e+05 1.000000000000e+09 1.187107000000e+01 5.935535000000e-01 0.0 Boxfit
2.242101000000e+05 1.000000000000e+09 1.267753000000e+01 6.338765000000e-01 0.0 Boxfit
2.460703000000e+05 1.000000000000e+09 1.354139000000e+01 6.770695000000e-01 0.0 Boxfit
2.700618000000e+05 1.000000000000e+09 1.448420000000e+01 7.242100000000e-01 0.0 Boxfit
2.963925000000e+05 1.000000000000e+09 1.545874000000e+01 7.729370000000e-01 0.0 Boxfit
3.252905000000e+05 1.000000000000e+09 1.650621000000e+01 8.253105000000e-01 0.0 Boxfit
3.570059000000e+05 1.000000000000e+09 1.764753000000e+01 8.823765000000e-01 0.0 Boxfit
3.918135000000e+05 1.000000000000e+09 1.885136000000e+01 9.425680000000e-01 0.0 Boxfit
4.300148000000e+05 1.000000000000e+09 2.006276000000e+01 1.003138000000e+00 0.0 Boxfit
4.719408000000e+05 1.000000000000e+09 2.150391000000e+01 1.075195500000e+00 0.0 Boxfit
5.179544000000e+05 1.000000000000e+09 2.304410000000e+01 1.152205000000e+00 0.0 Boxfit
5.684543000000e+05 1.000000000000e+09 2.448572000000e+01 1.224286000000e+00 0.0 Boxfit
6.238779000000e+05 1.000000000000e+09 2.619999000000e+01 1.309999500000e+00 0.0 Boxfit
6.847052000000e+05 1.000000000000e+09 2.809034000000e+01 1.404517000000e+00 0.0 Boxfit
7.514631000000e+05 1.000000000000e+09 2.996396000000e+01 1.498198000000e+00 0.0 Boxfit
8.247299000000e+05 1.000000000000e+09 3.176910000000e+01 1.588455000000e+00 0.0 Boxfit
